Date,Open,High,Low,Close,Adj Close,Volume,RSI,Stochastic,MACD,MACD_Signal,EMA,ATR,ROC,OBV,AccDist,PSAR
2021-03-10,9.899999618530273,9.899999618530273,9.5,9.739999771118164,9.739999771118164,83800,,,,,,0.0,,83800.0,16760.0,9.739999771118164
2021-03-11,9.739999771118164,9.75,9.65999984741211,9.710000038146973,9.710000038146973,79100,,,,,,0.0,,4700.0,25549.075149408724,9.710000038146973
2021-03-12,9.800000190734863,9.800000190734863,9.649999618530273,9.720000267028809,9.720000267028809,22800,,,,,,0.0,,27500.0,24029.19111576322,9.899999618530273
2021-03-15,9.699999809265137,9.770000457763672,9.699999809265137,9.770000457763672,9.770000457763672,104400,,,,,,0.0,,131900.0,128429.19111576321,9.894999618530273
2021-03-16,9.75,9.75,9.75,9.75,9.75,26200,,,,,,0.0,,105700.0,128429.19111576321,9.890099618530273
2021-03-17,9.800000190734863,9.899999618530273,9.779999732971191,9.850000381469727,9.850000381469727,171000,,,,,,0.0,,276700.0,156931.22959655858,9.649999618530273
2021-03-18,9.789999961853027,9.836000442504883,9.75,9.75,9.75,113700,,,,,,0.0,,163000.0,43231.22959655858,9.654999618530274
2021-03-19,9.75,9.800000190734863,9.75,9.789999961853027,9.789999961853027,12800,,,,,,0.0,,175800.0,50911.13194068111,9.659899618530273
2021-03-22,9.75,9.789999961853027,9.569999694824219,9.699999809265137,9.699999809265137,395200,,,,,,0.0,,-219400.0,122765.5216548826,9.899999618530273
2021-03-23,9.680000305175781,9.6899995803833,9.5,9.6899995803833,9.6899995803833,140600,,,,,,0.0,,-360000.0,263365.5216548826,9.893399620056153
2021-03-24,9.649999618530273,9.65999984741211,9.510000228881836,9.649999618530273,9.649999618530273,32100,,,,,,0.0,,-392100.0,291185.4128085771,9.877663635253906
2021-03-25,9.567000389099121,9.630000114440918,9.510000228881836,9.600000381469727,9.600000381469727,11500,,,,,,0.0,,-403600.0,296935.458505515,9.862557089843751
2021-03-26,9.600000381469727,9.670000076293945,9.569999694824219,9.65999984741211,9.65999984741211,9100,,,,,,0.0,-0.8213544721353787,-394500.0,304215.4237919023,9.848054806250001
2021-03-29,9.699999809265137,9.699999809265137,9.65999984741211,9.6899995803833,9.6899995803833,81400,46.213088808695815,47.49994039529838,,,,0.1364286286490304,-0.20597793702469133,-313100.0,344914.4534273599,9.834132614000001
2021-03-30,9.649999618530273,9.699999809265137,9.630000114440918,9.699999809265137,9.699999809265137,12700,47.552471984156305,50.0,,,,0.131683704804401,-0.2057660207224004,-300400.0,357614.4534273599,9.82076730944
2021-03-31,9.649999618530273,9.680000305175781,9.640000343322754,9.65999984741211,9.65999984741211,14100,42.94583867812566,40.0,,,,0.12656340202854258,-1.1259017932199908,-314500.0,357614.1172568428,9.807936617062401
2021-04-01,9.75,9.75,9.65999984741211,9.680000305175781,9.680000305175781,331300,45.774488857159724,45.00011920940324,,,,0.12395174135421029,-0.7179455879407051,16800.0,173561.68221255,9.795619152379905
2021-04-05,9.720000267028809,9.779999732971191,9.649999618530273,9.729999542236328,9.729999542236328,43000,52.15994220486567,57.49994039529838,,,,0.12438376800326083,-1.2182825846296363,59800.0,183484.66207536773,9.783794386284708
2021-04-06,9.756999969482422,9.760000228881836,9.720000267028809,9.75,9.75,4300,54.469615947324485,62.50005960470162,,,,0.11835635327824415,0.0,64100.0,185634.61081532433,9.779999732971191
2021-04-07,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,1000,56.71987309740799,80.35717326763586,,,9.71665362612067,0.11133093217006042,-0.20428502724498487,65100.0,185634.61081532433,9.5
2021-04-08,9.800000190734863,9.800000190734863,9.789999961853027,9.800000190734863,9.800000190734863,18100,59.91968261125382,100.0,,,9.724591394179164,0.10552156079871264,1.0309317880007516,83200.0,203734.61081532433,9.505400009155274
2021-04-09,9.760000228881836,9.850000381469727,9.710000038146973,9.84000015258789,9.84000015258789,57300,63.766269292867655,97.14279486215334,,,9.735582704503805,0.1079843309790013,1.547993588237662,140500.0,252848.7292477601,9.517184016418458
2021-04-12,9.84000015258789,9.899999618530273,9.710000038146973,9.899999618530273,9.899999618530273,78100,68.62963021283338,100.0,,,9.751241458220612,0.1138425630793084,2.5906736775402672,218600.0,330948.7292477601,9.537152998321535
2021-04-13,9.800000190734863,9.869999885559082,9.739999771118164,9.829999923706055,9.829999923706055,16200,58.72613857483587,82.05133221174538,,,9.75874226445732,0.11713951196022276,2.3958284697600813,202400.0,337179.5167619735,9.566180727938233
2021-04-14,9.8149995803833,9.869999885559082,9.8149995803833,9.869999885559082,9.869999885559082,93900,62.092423087782514,92.30774873821355,,,9.769338228371774,0.11270099718990552,2.1739134727132647,296300.0,431079.5167619735,9.592886239185596
2021-04-15,9.880000114440918,9.880000114440918,9.819999694824219,9.819999694824219,9.819999694824219,11200,55.94958135798615,75.75759327225963,0.031621861051208455,,9.774163129938673,0.10893667022039079,1.3415905064030522,285100.0,419879.5167619735,9.61745530953317
2021-04-16,9.779999732971191,9.850000381469727,9.760000228881836,9.850000381469727,9.850000381469727,41700,58.59633615513842,81.48173003903008,0.03351648165805621,,9.781385725322583,0.10758406181806934,1.5463976820011274,326800.0,461579.5167619735,9.640058854252938
2021-04-19,9.760000228881836,9.850000381469727,9.75,9.850000381469727,9.850000381469727,53000,58.59633615513842,81.48173003903008,0.03461891681546625,,9.787920454479453,0.1070423703646163,1.9668792656194283,326800.0,514579.5167619735,9.660854115395125
